date,carbon-intensity,cfe
2021_01,291.18471774193586,43.53934139784948
2021_02,270.8513244047618,48.668184523809536
2021_03,268.7851209677421,47.38584677419359
2021_04,281.8979861111109,45.059930555555574
2021_05,217.94821236559153,58.26255376344091
2021_06,245.7790555555556,53.068402777777735
2021_07,255.25758064516103,50.2989516129032
2021_08,248.66248655913995,52.676572580645164
2021_09,308.9541250000001,41.640458333333335
2021_10,296.79779569892463,43.954744623655934
2021_11,346.728513888889,33.07668055555565
2021_12,329.30350806451617,37.86881720430108
2022_01,326.94787634408635,36.6036827956989
2022_02,330.48989583333343,38.98059523809528
2022_03,347.35907258064515,35.82221774193544
2022_04,286.82944444444445,46.882680555555545
2022_05,278.9057930107525,49.7655645161291
2022_06,302.6110416666668,44.933722222222215
2022_07,320.5036021505375,42.2091935483871
2022_08,320.9273387096772,40.83943548387097
2022_09,328.94059722222227,41.0905138888889
2022_10,335.7847446236557,39.16716397849465
2022_11,318.8670138888891,42.92763888888892
2022_12,360.5199999999995,35.83831989247316
2023_01,325.0635483870967,43.14629032258062
2023_02,326.3639583333334,41.72361607142856
2023_03,300.27275537634387,46.18759408602143
2023_04,219.66870833333297,54.27588888888883
2023_05,203.49448924731166,59.87700268817201
2023_06,238.3699027777776,55.66037499999998
2023_07,248.7320430107524,50.746962365591365
2023_08,230.27612903225815,54.55711021505381
2023_09,250.62322222222235,50.49398611111113
2023_10,234.66126344085998,52.50797043010745
2023_11,210.02609722222223,58.736986111111115
2023_12,238.63770161290313,50.695860215053784
2024_01,232.03063172043022,52.2241935483871
2024_02,225.66739942528767,54.523318965517134
2024_03,192.85387096774187,60.91955645161283
2024_04,170.67088888888884,66.25395833333332
2024_05,158.24088709677372,68.98973118279565
2024_06,171.9787916666666,65.48779166666664
2024_07,200.59599462365617,57.939099462365654
2024_08,224.42053763440845,52.27995967741928
2024_09,218.1393611111112,54.22279166666661
2024_10,206.33559139784964,58.53038978494619
2024_11,249.97084722222235,48.30631944444446
2024_12,237.27577956989273,49.463749999999976
